0,10.56381,-2.05108
-7.82694,0.45386,-3.76056
7.82694,0.45386,-3.76056
6.96223,5.38242,-2.19061
6.48414,6.40424,-0.14004
5.69945,7.20796,1.79088
4.81093,7.77321,3.65006
3.61962,7.47782,5.50947
2.25278,6.46157,6.96317
1.18879,5.21755,8.13378
0,3.59608,8.75111
-1.15339,1.51369,9.19904
5.94022,7.38337,-1.51513
5.07624,8.37264,0.40595
3.87946,9.03611,2.51559
2.60756,8.97868,4.39107
1.23344,8.11574,6.06161
0,6.81181,7.28186
-1.18879,5.21755,8.13378
-2.29559,2.91372,8.5581
4.06489,9.40559,-0.89098
2.86784,10.01456,0.85212
1.42153,10.06322,2.84803
0,9.40339,4.65829
-1.23344,8.11574,6.06161
-2.25278,6.46157,6.96317
-3.34467,4.40891,7.67253
1.39547,10.65281,-0.61138
0,10.68996,1.00542
-1.42153,10.06322,2.84803
-2.60756,8.97868,4.39107
-3.61962,7.47782,5.50947
-4.49828,5.59395,6.28801
0,10.56381,-2.05108
-1.39547,10.65281,-0.61138
-2.86784,10.01456,0.85212
-3.87946,9.03611,2.51559
-4.81093,7.77321,3.65006
-5.10466,6.41586,4.77815
-4.06489,9.40559,-0.89098
-5.07624,8.37264,0.40595
-5.69945,7.20796,1.79088
-6.16984,6.11292,3.29612
-6.01447,4.93908,4.85771
-5.33943,3.8022,6.32664
-4.64127,2.57224,7.50868
-3.53746,1.07133,8.47419
-1.99458,-0.60998,9.2887
-5.94022,7.38337,-1.51513
-6.48414,6.40424,-0.14004
-6.97545,5.35131,1.30741
-7.10064,4.23342,2.91874
-6.86564,3.1624,4.768
-6.1138,1.94213,6.23844
-5.31389,0.60081,7.48811
-3.72368,-1.14573,8.58697
-6.96223,5.38242,-2.19061
-7.31613,4.37155,-0.61128
-7.66385,3.29619,1.04415
-7.62423,2.30205,2.81799
-7.3657,1.34368,4.60382
-6.70292,0.06004,6.23992
-5.40372,-1.61247,7.47343
-7.54098,3.05323,-2.51935
-7.77059,2.06323,-0.80729
-7.96921,1.20744,0.97332
-8.06621,0.40109,2.78565
-7.60767,-0.5684,4.59939
-6.81554,-1.94522,5.93053
-7.69315,1.74041,-4.18153
-7.74468,1.05291,-2.47059
-7.93758,0.0722,-0.96992
-7.98893,-0.75212,0.84194
-8.05947,-1.50296,2.76753
-7.56445,-2.31141,4.30327
-7.52646,0.73096,-5.96025
-7.76752,-1.84131,-0.92719
-7.79279,-2.73175,1.10033
-7.46191,-3.49308,2.95937
-6.86934,-3.79448,4.89401
-5.65276,-3.84604,6.52108
-4.12465,-3.548,7.95405
-2.23647,-2.95809,8.92461
0,-1.93834,9.45867
-7.12806,-0.49186,-7.34929
-7.3792,-3.49709,-2.18347
-7.52183,-3.70044,-0.51432
-7.15214,-4.71132,1.51762
-6.48817,-5.15829,3.47294
-5.53051,-5.46184,5.50189
-4.03809,-5.23807,7.04455
-2.29514,-4.87829,8.27223
0,-3.74195,9.02791
-6.82585,-1.86426,-8.69399
-6.74047,-2.8484,-6.74712
-6.78379,-4.01784,-5.01755
-7.03346,-4.4509,-3.54895
-6.99052,-5.01694,-1.8881
-6.67571,-5.73608,0.10234
-5.96851,-6.52864,2.03293
-5.10822,-6.74936,3.92134
